company1Label,p1Label,intermediateLabel,p2Label,company2Label,p1,p2,company1,company2
ExxonMobil,http://www.wikidata.org/prop/direct/P3320,Ursula Burns,http://www.wikidata.org/prop/direct/P463,Boston Scientific,http://www.wikidata.org/prop/direct/P3320,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q894585
Cisco,http://www.wikidata.org/prop/direct/P361,Nasdaq-100,http://www.wikidata.org/prop/direct/P527,Adobe,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q11463
Cisco,http://www.wikidata.org/prop/direct/P463,Alliance for Open Media,http://www.wikidata.org/prop/direct/P527,Adobe,http://www.wikidata.org/prop/direct/P463,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q11463
ExxonMobil,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Accenture,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q338825
Cisco,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Danaher Corporation,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q1159256
Cisco,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Gilead Sciences,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q663596
ExxonMobil,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Danaher Corporation,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q1159256
ExxonMobil,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Gilead Sciences,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q663596
Cisco,http://www.wikidata.org/prop/direct/P127,The Vanguard Group,http://www.wikidata.org/prop/direct/P1830,Verizon Communications,http://www.wikidata.org/prop/direct/P127,http://www.wikidata.org/prop/direct/P1830,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q467752
ExxonMobil,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Amgen,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q156238,http://www.wikidata.org/entity/Q470517
Cisco,http://www.wikidata.org/prop/direct/P361,S&P 500,http://www.wikidata.org/prop/direct/P527,Accenture,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q338825
Cisco,http://www.wikidata.org/prop/direct/P3320,Lisa Su,http://www.wikidata.org/prop/direct/P108,Texas Instruments,http://www.wikidata.org/prop/direct/P3320,http://www.wikidata.org/prop/direct/P108,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q193412
Cisco,http://www.wikidata.org/prop/direct/P361,Dow Jones Industrial Average,http://www.wikidata.org/prop/direct/P527,Amgen,http://www.wikidata.org/prop/direct/P361,http://www.wikidata.org/prop/direct/P527,http://www.wikidata.org/entity/Q173395,http://www.wikidata.org/entity/Q470517
